ym,local,bill,rsn,cnt,amt
﻿201808,58,7,1,26,984000
﻿201808,58,7,2,51,3990000
﻿201808,59,1,2,1,10000
﻿201808,5E,1,2,1,40000
﻿201808,5R,7,1,4,140000
﻿201808,5X,7,2,5,301000
﻿201808,5Y,4,4,5,1000
﻿201808,62,4,6,3,3000
﻿201808,62,6,2,1,58000
﻿201808,62,6,6,1,20000
﻿201808,62,7,1,3,78000
﻿201808,62,7,2,22,681000
﻿201808,62,7,4,1,37000
﻿201808,63,1,3,1,13000
﻿201808,63,1,6,1,23000
﻿201808,63,6,2,2,29000
﻿201808,63,7,2,4,55000
﻿201808,65,7,2,25,1710000
﻿201808,65,7,6,13,532000
﻿201808,66,3,6,2,4000
﻿201808,67,7,2,13,912000
﻿201808,6D,7,1,13,357000
﻿201808,6F,4,4,1,5000
﻿201808,6G,2,4,1,540000
﻿201808,6N,1,1,1,40000
﻿201808,74,1,1,1,39000
﻿201808,74,1,2,2,14900000
﻿201808,74,1,6,2,123000
﻿201808,74,2,1,1,50000
﻿201808,74,2,2,2,154000
﻿201808,74,7,2,6,206000
﻿201808,76,7,2,47,1680000
﻿201808,7A,3,1,3,15000
﻿201808,7A,7,2,34,225000
﻿201808,7A,7,4,1,60000
﻿201808,7A,7,6,143,3210000
﻿201808,83,2,2,1,51000
﻿201808,90,1,1,1,37000
﻿201809,1,1,1,3,150000
﻿201809,1,1,2,7,54100000
﻿201809,1,1,4,2,65000
﻿201809,1,1,6,9,125000
﻿201809,1,2,1,9,294000
﻿201809,1,2,2,34,2120000
﻿201809,1,2,4,2,130000
﻿201809,1,2,5,1,37000
﻿201809,1,2,6,4,160000
﻿201809,1,3,1,13,41000
﻿201809,1,3,2,24,100000
﻿201809,1,3,4,27,135000
﻿201809,1,3,6,10,46000
﻿201809,1,4,4,264,2210000
﻿201809,1,4,6,18,5000
﻿201809,1,6,1,55,34200000
﻿201809,1,6,2,1,4070000
﻿201809,1,6,6,46,9410000
﻿201809,1,7,1,14,601000
﻿201809,1,7,2,148,9360000
﻿201809,1,7,6,33,1450000
﻿201809,6,1,1,9,98000
﻿201809,6,1,2,11,169000
﻿201809,6,1,6,1,20000
﻿201809,6,2,2,4,102000
﻿201809,6,3,2,6,24000
﻿201809,6,3,6,1,5000
﻿201809,6,4,4,6,11000
﻿201809,6,6,2,1,20000
﻿201809,6,6,6,1,8000
﻿201809,6,7,1,30,853000
﻿201809,6,7,2,145,4280000
﻿201809,11,1,6,1,20000
﻿201809,11,2,6,1,25000
﻿201809,11,3,2,1,5000
﻿201809,11,3,6,1,5000
﻿201809,11,4,4,6,1000
﻿201809,11,6,2,1,3030000
﻿201809,11,7,1,6,131000
﻿201809,11,7,2,36,1660000
﻿201809,12,2,1,2,54000
﻿201809,12,2,2,1,46000
﻿201809,12,4,6,1,1000
﻿201809,12,7,1,7,80000
﻿201809,12,7,2,23,697000
﻿201809,13,1,1,1,20000
﻿201809,13,1,6,1,5000
﻿201809,13,3,6,1,4000
﻿201809,14,1,2,1,35000
﻿201809,14,2,1,2,100000
﻿201809,14,2,2,3,168000
﻿201809,14,2,6,1,50000
﻿201809,14,6,1,1,6000
﻿201809,14,7,1,18,149000
﻿201809,14,7,2,9,233000
﻿201809,15,3,1,2,6000
﻿201809,15,3,2,1,5000
﻿201809,15,6,1,1,19000
